Red,Green,Blue,Clear,Distance_mm,Timestamp
536,253,238,879,31,2026-01-21 10:40:06.392
603,295,282,940,35,2026-01-21 10:40:06.535
583,277,266,894,40,2026-01-21 10:40:06.678
493,217,208,762,45,2026-01-21 10:40:06.821
479,224,215,728,45,2026-01-21 10:40:06.964
449,218,210,688,39,2026-01-21 10:40:07.107
406,199,192,635,36,2026-01-21 10:40:07.250
407,218,168,626,37,2026-01-21 10:40:07.393
379,215,209,582,35,2026-01-21 10:40:07.536
344,189,185,538,34,2026-01-21 10:40:07.679
308,159,156,495,33,2026-01-21 10:40:07.822
347,212,207,529,39,2026-01-21 10:40:07.965
309,185,181,494,32,2026-01-21 10:40:08.108
272,156,151,462,30,2026-01-21 10:40:08.251
327,220,213,517,27,2026-01-21 10:40:08.394
304,208,200,499,28,2026-01-21 10:40:08.537
244,149,144,428,32,2026-01-21 10:40:08.680
311,211,206,476,34,2026-01-21 10:40:08.823
282,177,173,434,35,2026-01-21 10:40:08.966
260,143,140,417,33,2026-01-21 10:40:09.109
331,203,198,503,37,2026-01-21 10:40:09.252
344,196,191,535,41,2026-01-21 10:40:09.395
343,171,166,551,42,2026-01-21 10:40:09.538
384,202,195,591,44,2026-01-21 10:40:09.681
387,194,187,600,42,2026-01-21 10:40:09.824
373,181,173,601,44,2026-01-21 10:40:09.967
398,213,203,639,41,2026-01-21 10:40:10.110
380,216,203,648,44,2026-01-21 10:40:10.253
337,195,181,604,45,2026-01-21 10:40:10.396
344,213,198,619,44,2026-01-21 10:40:10.539
335,206,192,605,45,2026-01-21 10:40:10.682
315,178,167,552,44,2026-01-21 10:40:10.825
321,183,173,537,45,2026-01-21 10:40:10.968
319,186,177,536,43,2026-01-21 10:40:11.111
283,169,161,491,40,2026-01-21 10:40:11.254
275,180,172,468,42,2026-01-21 10:40:11.397
228,160,155,382,44,2026-01-21 10:40:11.540
184,130,126,311,48,2026-01-21 10:40:11.683
177,133,108,294,52,2026-01-21 10:40:11.826
162,126,122,268,54,2026-01-21 10:40:11.969
151,119,115,258,52,2026-01-21 10:40:12.112
163,122,118,293,49,2026-01-21 10:40:12.255
215,154,149,374,51,2026-01-21 10:40:12.398
274,173,165,478,51,2026-01-21 10:40:12.541
285,171,163,508,52,2026-01-21 10:40:12.684
307,183,175,523,57,2026-01-21 10:40:12.827
310,179,171,530,61,2026-01-21 10:40:12.970
283,162,154,485,73,2026-01-21 10:40:13.113
269,165,157,461,81,2026-01-21 10:40:13.256
253,158,150,435,85,2026-01-21 10:40:13.399
240,145,138,403,91,2026-01-21 10:40:13.542
235,142,136,383,93,2026-01-21 10:40:13.685
235,134,129,372,87,2026-01-21 10:40:13.828
246,130,125,383,88,2026-01-21 10:40:13.971
253,135,130,392,88,2026-01-21 10:40:14.114
247,131,126,384,86,2026-01-21 10:40:14.257
240,127,122,380,83,2026-01-21 10:40:14.400
240,132,127,384,81,2026-01-21 10:40:14.543
243,139,131,403,81,2026-01-21 10:40:14.686
239,137,130,403,83,2026-01-21 10:40:14.829
244,142,134,405,85,2026-01-21 10:40:14.972
250,141,134,406,84,2026-01-21 10:40:15.115
255,138,132,409,86,2026-01-21 10:40:15.258
263,141,135,413,86,2026-01-21 10:40:15.401
252,131,126,381,86,2026-01-21 10:40:15.544
252,125,122,372,83,2026-01-21 10:40:15.687
258,127,124,374,81,2026-01-21 10:40:15.830
277,133,130,401,74,2026-01-21 10:40:15.973
303,140,137,444,71,2026-01-21 10:40:16.116
325,153,149,480,65,2026-01-21 10:40:16.259
356,169,163,540,57,2026-01-21 10:40:16.402
378,182,174,596,58,2026-01-21 10:40:16.545
370,187,177,621,60,2026-01-21 10:40:16.688
376,205,194,628,61,2026-01-21 10:40:16.831
367,200,189,620,56,2026-01-21 10:40:16.974
367,189,179,609,62,2026-01-21 10:40:17.117
370,190,181,587,68,2026-01-21 10:40:17.260
340,165,159,515,71,2026-01-21 10:40:17.403
327,151,147,487,70,2026-01-21 10:40:17.546
334,157,152,489,70,2026-01-21 10:40:17.689
330,151,147,481,73,2026-01-21 10:40:17.832
330,146,142,485,69,2026-01-21 10:40:17.975
336,155,150,493,70,2026-01-21 10:40:18.118
330,154,149,494,70,2026-01-21 10:40:18.261
333,158,151,516,70,2026-01-21 10:40:18.404
335,169,161,523,72,2026-01-21 10:40:18.547
322,166,158,507,70,2026-01-21 10:40:18.690
315,161,154,499,73,2026-01-21 10:40:18.833
323,167,160,505,74,2026-01-21 10:40:18.976
340,167,161,519,69,2026-01-21 10:40:19.119
338,163,158,515,69,2026-01-21 10:40:19.262
343,171,166,518,69,2026-01-21 10:40:19.405
347,176,170,529,70,2026-01-21 10:40:19.548
340,174,167,525,66,2026-01-21 10:40:19.691
