Red,Green,Blue,Clear,Distance_mm,Timestamp
166,208,212,334,27,2026-01-21 10:27:23.816
128,162,167,283,30,2026-01-21 10:27:23.959
161,130,135,313,36,2026-01-21 10:27:24.102
151,175,178,285,36,2026-01-21 10:27:24.244
129,149,153,257,38,2026-01-21 10:27:24.387
108,128,132,237,42,2026-01-21 10:27:24.530
145,163,166,268,44,2026-01-21 10:27:24.674
128,143,147,244,44,2026-01-21 10:27:24.817
111,127,130,229,40,2026-01-21 10:27:24.960
142,159,163,263,41,2026-01-21 10:27:25.103
135,154,158,260,39,2026-01-21 10:27:25.246
113,134,139,247,36,2026-01-21 10:27:25.388
158,183,187,299,35,2026-01-21 10:27:25.531
146,171,176,288,35,2026-01-21 10:27:25.674
118,141,146,259,36,2026-01-21 10:27:25.817
162,186,190,304,35,2026-01-21 10:27:25.961
155,180,183,303,29,2026-01-21 10:27:26.104
124,154,157,286,29,2026-01-21 10:27:26.246
177,212,213,346,26,2026-01-21 10:27:26.389
157,195,197,328,31,2026-01-21 10:27:26.532
109,140,143,264,30,2026-01-21 10:27:26.675
150,182,183,301,25,2026-01-21 10:27:26.819
160,205,206,346,23,2026-01-21 10:27:26.961
120,171,175,324,28,2026-01-21 10:27:27.104
163,207,209,340,29,2026-01-21 10:27:27.247
163,206,208,339,26,2026-01-21 10:27:27.391
118,157,161,286,30,2026-01-21 10:27:27.533
153,187,189,303,33,2026-01-21 10:27:27.676
143,174,177,286,32,2026-01-21 10:27:27.819
113,146,150,261,28,2026-01-21 10:27:27.962
158,195,198,314,33,2026-01-21 10:27:28.106
144,177,180,288,36,2026-01-21 10:27:28.249
109,137,141,241,38,2026-01-21 10:27:28.391
133,110,114,263,33,2026-01-21 10:27:28.534
133,161,164,262,31,2026-01-21 10:27:28.677
112,139,142,240,37,2026-01-21 10:27:28.820
83,109,112,209,35,2026-01-21 10:27:28.963
133,162,164,262,33,2026-01-21 10:27:29.106
114,142,146,243,34,2026-01-21 10:27:29.249
82,107,111,207,34,2026-01-21 10:27:29.392
128,154,157,252,36,2026-01-21 10:27:29.536
111,136,139,233,36,2026-01-21 10:27:29.678
80,105,109,202,36,2026-01-21 10:27:29.821
124,149,152,245,38,2026-01-21 10:27:29.964
107,130,133,222,39,2026-01-21 10:27:30.107
80,102,105,192,41,2026-01-21 10:27:30.250
114,136,139,225,42,2026-01-21 10:27:30.393
105,128,131,216,38,2026-01-21 10:27:30.536
84,108,113,200,40,2026-01-21 10:27:30.679
115,138,142,226,44,2026-01-21 10:27:30.823
104,123,127,206,43,2026-01-21 10:27:30.965
87,105,110,188,44,2026-01-21 10:27:31.108
109,129,133,211,42,2026-01-21 10:27:31.251
107,127,131,210,43,2026-01-21 10:27:31.394
90,108,112,189,43,2026-01-21 10:27:31.537
106,124,128,204,43,2026-01-21 10:27:31.680
104,121,126,202,39,2026-01-21 10:27:31.823
92,109,114,192,43,2026-01-21 10:27:31.966
109,127,131,210,46,2026-01-21 10:27:32.110
112,132,137,220,42,2026-01-21 10:27:32.253
99,121,126,213,41,2026-01-21 10:27:32.395
120,142,146,234,39,2026-01-21 10:27:32.538
119,140,143,234,38,2026-01-21 10:27:32.682
105,125,127,222,42,2026-01-21 10:27:32.824
124,107,109,241,39,2026-01-21 10:27:32.967
124,145,147,240,42,2026-01-21 10:27:33.111
104,124,127,215,45,2026-01-21 10:27:33.254
86,103,108,190,43,2026-01-21 10:27:33.396
110,128,132,212,41,2026-01-21 10:27:33.539
100,117,122,200,44,2026-01-21 10:27:33.682
87,102,107,183,50,2026-01-21 10:27:33.825
104,120,124,199,48,2026-01-21 10:27:33.968
99,114,118,192,49,2026-01-21 10:27:34.111
88,102,107,181,53,2026-01-21 10:27:34.254
103,117,121,194,56,2026-01-21 10:27:34.397
97,110,114,186,59,2026-01-21 10:27:34.540
88,100,104,176,60,2026-01-21 10:27:34.683
98,110,114,185,63,2026-01-21 10:27:34.826
93,105,108,179,60,2026-01-21 10:27:34.969
86,97,100,171,65,2026-01-21 10:27:35.112
94,105,108,179,63,2026-01-21 10:27:35.255
92,104,106,178,59,2026-01-21 10:27:35.398
88,101,104,177,53,2026-01-21 10:27:35.541
101,114,118,192,50,2026-01-21 10:27:35.685
102,116,120,196,48,2026-01-21 10:27:35.827
95,110,114,193,43,2026-01-21 10:27:35.970
112,127,131,211,39,2026-01-21 10:27:36.113
114,130,134,218,43,2026-01-21 10:27:36.288
107,121,125,212,41,2026-01-21 10:27:36.400
124,138,141,229,41,2026-01-21 10:27:36.542
125,138,142,231,41,2026-01-21 10:27:36.685
116,130,134,224,40,2026-01-21 10:27:36.828
132,146,150,242,41,2026-01-21 10:27:36.971
132,146,150,242,41,2026-01-21 10:27:37.114
121,134,138,228,41,2026-01-21 10:27:37.258
131,122,127,239,45,2026-01-21 10:27:37.400
131,148,153,245,42,2026-01-21 10:27:37.543
120,141,146,242,35,2026-01-21 10:27:37.686
106,130,136,241,35,2026-01-21 10:27:37.829
155,182,187,297,36,2026-01-21 10:27:37.972
144,164,169,279,42,2026-01-21 10:27:38.115
125,137,140,249,44,2026-01-21 10:27:38.258
147,157,159,262,43,2026-01-21 10:27:38.401
122,133,135,226,46,2026-01-21 10:27:38.544
98,113,118,202,41,2026-01-21 10:27:38.687
117,135,139,224,44,2026-01-21 10:27:38.830
110,129,135,219,44,2026-01-21 10:27:38.973
91,109,114,194,43,2026-01-21 10:27:39.116
110,128,132,211,46,2026-01-21 10:27:39.259
100,115,120,195,47,2026-01-21 10:27:39.403
84,99,103,176,49,2026-01-21 10:27:39.545
98,112,116,188,51,2026-01-21 10:27:39.688
97,112,116,189,55,2026-01-21 10:27:39.831
89,101,106,176,61,2026-01-21 10:27:39.974
100,112,116,188,64,2026-01-21 10:27:40.117
106,115,119,195,62,2026-01-21 10:27:40.260
101,109,113,190,69,2026-01-21 10:27:40.403
108,116,120,196,73,2026-01-21 10:27:40.546
108,115,119,195,70,2026-01-21 10:27:40.689
100,108,112,186,68,2026-01-21 10:27:40.832
102,111,115,187,73,2026-01-21 10:27:40.976
99,109,113,185,71,2026-01-21 10:27:41.118
100,118,125,218,71,2026-01-21 10:27:41.261
133,198,214,412,71,2026-01-21 10:27:41.404
139,198,214,411,75,2026-01-21 10:27:41.547
136,193,209,402,69,2026-01-21 10:27:41.690
143,207,224,431,66,2026-01-21 10:27:41.833
149,224,245,477,69,2026-01-21 10:27:41.976
145,217,237,466,73,2026-01-21 10:27:42.119
139,206,224,446,76,2026-01-21 10:27:42.262
140,200,216,422,73,2026-01-21 10:27:42.405
143,213,232,460,74,2026-01-21 10:27:42.548
157,257,284,582,67,2026-01-21 10:27:42.691
167,274,301,610,71,2026-01-21 10:27:42.834
161,267,293,598,74,2026-01-21 10:27:42.977
153,254,279,576,72,2026-01-21 10:27:43.120
164,270,296,609,68,2026-01-21 10:27:43.263
167,281,308,644,67,2026-01-21 10:27:43.406
160,274,300,636,62,2026-01-21 10:27:43.549
171,288,316,658,58,2026-01-21 10:27:43.693
174,302,332,696,56,2026-01-21 10:27:43.835
171,306,337,715,53,2026-01-21 10:27:43.978
184,322,353,737,56,2026-01-21 10:27:44.121
